,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,availability_30,availability_365,review_scores_accuracy,review_scores_cleanliness,reviews_per_month,place,south,verification_count,email_ver,jumio_ver,phone_ver,host_response_rate%,host_acceptance_rate%,days_as_host,days_since_last_rev,days_since_first_rev,minimum_nights,communication_score
2481,within an hour,f,1.0,t,f,t,0,199,4.57,4.86,0.13,Bologna,0,3,1,0,1,100,50,2298,1028,1750,4,4.93
3165,within an hour,f,5.0,t,t,t,0,0,4.72,4.59,4.2,Bologna,0,8,1,1,1,100,100,1395,116,1354,1,4.88
4041,within an hour,f,0.0,t,f,t,0,0,5.0,5.0,0.04,Bologna,0,2,1,0,1,100,100,849,747,747,2,5.0
1983,within a day,f,1.0,t,t,t,28,363,4.79,4.75,0.32,Bologna,0,5,1,1,1,50,0,2833,1981,2715,10,4.91
2910,within a few hours,f,1.0,t,t,t,25,342,4.78,4.78,1.06,Bologna,0,8,1,1,1,90,63,1553,113,1521,1,4.745
2837,within an hour,t,3.0,t,f,t,7,291,4.74,4.79,0.66,Bologna,0,4,1,0,1,100,100,1674,151,1622,1,4.88
3822,within an hour,f,1.0,t,t,t,0,212,4.64,4.52,2.3,Bologna,0,8,1,1,1,100,99,1786,81,935,2,4.9
4657,within an hour,f,26.0,t,t,t,21,37,4.78,5.0,2.23,Bologna,0,9,1,1,1,94,98,1613,122,196,2,4.725
3734,within an hour,f,2.0,t,f,f,0,0,4.86,4.71,2.17,Bologna,0,2,1,0,1,100,100,1036,585,1029,2,4.805
2167,within an hour,t,3.0,t,t,t,0,75,4.97,4.93,1.0,Bologna,0,8,1,1,1,100,100,2521,122,2353,14,4.95
3792,within a few hours,f,2.0,t,t,t,18,346,4.78,4.87,3.73,Bologna,0,1,0,0,1,78,82,1392,95,977,1,4.9
1887,within an hour,f,2.0,t,f,t,18,18,4.65,4.19,0.52,Bologna,0,4,1,0,1,100,91,3074,739,3066,1,4.845000000000001
4492,within an hour,f,14.0,t,t,t,1,103,5.0,5.0,0.63,Bologna,0,7,1,1,1,100,100,1793,123,123,2,5.0
3671,within an hour,f,1.0,t,t,t,0,1,4.6,4.8,0.15,Bologna,0,5,1,1,1,100,100,1082,598,1075,1,4.2
1795,within a few hours,f,1.0,t,t,t,0,168,4.92,4.77,0.28,Bologna,0,10,1,1,1,100,0,3648,720,1686,2,4.96
2264,a few days or more,f,1.0,t,f,t,0,199,4.93,4.96,0.4,Bologna,0,3,1,0,1,0,100,2239,791,2169,3,4.93
2614,within an hour,t,3.0,t,t,t,8,252,4.87,4.89,1.61,Bologna,0,7,1,1,1,100,98,1938,103,1824,2,4.87
2320,within an hour,f,1.0,t,t,t,0,0,5.0,5.0,0.12,Bologna,0,6,1,1,1,100,100,2185,889,1809,1,5.0
4028,within an hour,t,1.0,t,t,t,11,273,5.0,5.0,1.21,Bologna,0,5,1,1,1,100,82,1352,136,620,1,5.0
2234,within an hour,f,2.0,t,t,t,21,356,4.81,4.73,2.3,Bologna,0,0,0,0,0,100,100,3051,90,2231,1,4.915
4730,within a day,f,1.0,t,t,t,7,67,4.0,4.25,1.82,Bologna,0,2,1,0,1,90,80,172,93,141,2,4.75
4717,within a few hours,f,0.0,t,t,t,0,199,4.89,5.0,2.78,Bologna,0,8,1,1,1,100,88,2415,102,172,4,4.835
3952,within an hour,f,10.0,t,f,t,11,63,4.66,4.34,1.42,Bologna,0,2,1,0,1,100,100,1267,80,879,1,4.83
2886,within an hour,f,1.0,t,t,t,11,264,4.89,5.0,0.41,Bologna,0,5,1,1,1,100,100,2479,860,1460,2,5.0
2757,within an hour,f,1.0,t,f,t,0,45,5.0,5.0,0.02,Bologna,0,3,1,0,1,100,100,2593,1602,1602,3,5.0
4699,within an hour,f,0.0,t,t,t,0,2,5.0,5.0,0.63,Bologna,0,1,0,0,1,100,100,192,123,123,2,5.0
4396,within an hour,t,4.0,t,t,t,0,169,4.7,4.9,0.69,Bologna,0,8,1,1,1,100,71,2300,98,510,2,4.85
4276,within an hour,f,8.0,t,t,t,22,66,4.68,4.73,2.19,Bologna,0,5,1,1,1,62,62,1335,106,622,1,4.55
2883,within an hour,t,1.0,t,f,t,0,192,4.72,4.59,0.64,Bologna,0,4,1,0,1,100,100,1596,873,1574,1,4.8100000000000005
2939,within an hour,f,1.0,t,f,t,28,88,4.73,4.91,0.33,Bologna,0,2,1,0,1,100,100,1533,81,1066,1,4.73
3575,within an hour,f,1.0,t,f,t,0,1,4.75,5.0,0.12,Bologna,0,2,1,0,1,100,100,1109,863,1080,2,5.0
3181,within a few hours,f,2.0,t,f,t,0,0,5.0,5.0,0.03,Bologna,0,2,1,0,1,100,80,2058,1268,1268,1,5.0
2349,within an hour,f,1.0,t,f,t,0,16,5.0,4.97,0.56,Bologna,0,3,1,0,1,100,100,2145,963,1796,2,4.984999999999999
2092,within an hour,f,4.0,t,t,t,20,352,4.9,4.97,0.38,Bologna,0,9,1,1,1,100,95,2481,103,2474,1,4.9350000000000005
2286,within a day,f,1.0,t,t,t,20,333,5.0,5.0,0.07,Bologna,0,5,1,1,1,50,0,2215,1971,2172,2,5.0
1993,within an hour,t,3.0,t,t,t,0,224,5.0,5.0,0.32,Bologna,0,5,1,0,1,100,88,2715,169,169,1,4.5
3940,within an hour,f,0.0,t,t,t,26,208,5.0,5.0,0.19,Bologna,0,7,1,1,1,100,75,906,791,849,2,5.0
2764,within an hour,f,4.0,t,t,t,19,36,4.67,4.22,1.34,Bologna,0,9,1,1,1,100,100,3647,96,1488,2,4.775
2641,within an hour,f,3.0,t,f,t,14,14,5.0,5.0,0.12,Bologna,0,3,1,0,1,100,100,2019,1082,1792,1,4.93
1794,within an hour,f,1.0,t,t,t,0,195,5.0,4.94,0.19,Bologna,0,7,1,1,1,100,100,3708,850,3642,4,4.859999999999999
